k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,"sBY,sSL",xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,w
74,0.0,0.0,1.0638297872340425,1.0,0.6382978723404256,0.6,16.27659574468085,15.3,-59999982.02127659,0.0,0.0,0.0,60000000.0,1890.5804457012564,1864.5600000000002,0.0,0.0,19.4,-0.7,10.76,0.0
75,0.0,0.0,1.106382978723404,1.04,0.6382978723404256,0.6,19.574468085106382,18.4,-59999978.680851094,0.0,0.0,0.0,60000000.0,1890.5615398967632,1864.5600000000002,-1.0,0.0,21.4,-0.7,10.76,0.0
76,0.0,0.0,1.0957446808510638,1.03,0.6382978723404256,0.6,17.02127659574468,16.0,-59999981.24468085,0.0,0.0,0.0,60000000.0,1890.5426342813298,1864.5600000000002,0.0,0.0,18.4,-0.4,10.76,0.0
77,0.0,0.0,2.202127659574468,2.07,0.5319148936170213,0.5,9.148936170212766,8.6,-59999988.11702133,0.0,0.0,0.0,60000000.0,1890.5237288550215,1864.5600000000002,0.0,0.0,12.2,-0.3,10.76,0.0
78,0.0,0.0,2.159574468085107,2.0300000000000002,0.5319148936170213,0.5,9.787234042553191,9.2,-59999987.52127659,0.0,0.0,0.0,60000000.0,1890.5048236176372,1864.5600000000002,0.0,0.0,14.3,-0.3,10.76,0.0
79,0.0,0.0,2.180851063829787,2.05,0.5319148936170213,0.5,9.787234042553191,9.2,-59999987.500000045,0.0,0.0,0.0,60000000.0,1890.485918569497,1864.5600000000002,0.0,0.0,15.3,-0.1,10.76,0.0
80,0.0,0.0,1.127659574468085,1.06,0.5319148936170213,0.5,11.914893617021276,11.2,-59999986.42553191,0.0,0.0,0.0,60000000.0,1890.4670137104113,1864.5600000000002,0.0,0.0,15.3,0.0,10.76,0.0
81,0.0,0.0,1.106382978723404,1.04,0.5319148936170213,0.5,13.297872340425533,12.5,-59999985.06382984,0.0,0.0,0.0,60000000.0,1890.4481090401744,1864.5600000000002,0.0,0.0,16.4,0.0,10.76,0.0
82,0.0,0.0,1.0851063829787235,1.02,0.5319148936170213,0.5,14.148936170212766,13.3,-59999984.234042555,0.0,0.0,0.0,60000000.0,1890.4292045591865,1864.5600000000002,0.0,0.0,15.3,0.0,10.76,0.0
83,0.0,0.0,1.2127659574468086,1.1400000000000001,0.5319148936170213,0.5,12.553191489361703,11.8,-59999985.702127695,0.0,0.0,0.0,60000000.0,1890.4103002670386,1864.5600000000002,0.0,0.0,16.3,0.0,10.76,0.0
